ticket,symbol,profit,ict_score,signal_conf,target_win,is_buy,hold_min,sl_distance,tp_distance,rr_ratio,dollar_risk,smc_stack_score,smc_structure_q,smc_has_ifvg,smc_has_breaker,smc_has_void,smc_has_mss,smc_bonus,m1_scalp,m1_range_aligned,h4_aligned,kz_Asian,kz_London,kz_London_NY,kz_London_PM,kz_NY_Open,kz_NY_PM2,kz_Other,asset_Commodity,asset_Crypto,asset_Forex,asset_Index,regime_HIGH,regime_NORMAL,regime_UNKNOWN,hour_sin,hour_cos,dow_sin,dow_cos
8579191912,USDJPY,-62.58,0.914,0.914,0,0,32.75,0.19199999999997885,0.10099999999999909,0.5260416666667199,95.99999999998943,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,False,True,False,False,True,False,0.0,1.0,0.5877852522924732,-0.8090169943749473
8579191917,NZDUSD,26.0,0.7975000000000001,0.7975000000000001,1,1,145.4,0.0011900000000000244,0.0004899999999999904,0.4117647058823365,59.50000000000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,0.0,1.0,0.5877852522924732,-0.8090169943749473
8579632491,USDCAD,-20.26,0.955,0.955,0,0,13.766666666666667,0.0005199999999998539,0.0017400000000000748,3.3461538461549303,25.999999999992696,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,True,False,False,True,False,1.2246467991473532e-16,-1.0,0.5877852522924732,-0.8090169943749473
8579818971,XAUUSD,46.2,0.7975000000000001,0.7975000000000001,1,1,2.25,3.8299999999999272,22.109999999999673,5.772845953002635,53.61999999999899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388,0.5877852522924732,-0.8090169943749473
8580222335,XAUUSD,174.22,0.978,0.978,1,1,2.0166666666666666,1.7899999999999636,41.75,23.32402234636919,110.97999999999774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,False,-0.25881904510252157,0.9659258262890681,0.5877852522924732,-0.8090169943749473
8580285447,GBPUSD,-46.8,0.7975000000000001,0.7975000000000001,0,1,8.616666666666667,0.000600000000000156,0.00383,6.383333333331674,46.80000000001217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475
8580259030,AUDJPY,-60.83,0.7975000000000001,0.7975000000000001,0,1,123.15,0.11899999999999977,0.34900000000000375,2.9327731092437346,92.81999999999982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,0.7071067811865476,0.7071067811865476,-0.587785252292473,-0.8090169943749475
8580340453,NGAS,82.0,0.7975000000000001,0.7975000000000001,1,0,378.1166666666667,0.06000000000000005,0.08199999999999985,1.366666666666663,0.6000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,True,False,0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475
8580369549,NZDUSD,12.48,0.805,0.805,1,0,57.61666666666667,0.0005999999999999339,0.0013800000000000479,2.300000000000333,46.799999999994846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,0.9659258262890683,0.25881904510252074,-0.587785252292473,-0.8090169943749475
8580402028,GBPUSD,20.1,0.838,0.838,1,1,102.53333333333333,0.000600000000000156,0.0029799999999999827,4.966666666665347,18.00000000000468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,0.9659258262890683,0.25881904510252074,-0.587785252292473,-0.8090169943749475
8580420566,NZDUSD,-47.58,0.658,0.658,0,0,6.7,0.0005999999999999339,0.0011600000000000499,1.9333333333336293,46.799999999994846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,1.0,6.123233995736766e-17,-0.587785252292473,-0.8090169943749475
8580454025,EURGBP,5.8100000000000005,0.85,0.85,1,0,378.3666666666667,0.0006899999999999684,0.0011999999999999789,1.7391304347826577,6.899999999999685,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,True,False,False,True,False,0.9659258262890683,-0.25881904510252063,-0.587785252292473,-0.8090169943749475
8580519358,GBPUSD,-73.32,0.7975000000000001,0.7975000000000001,0,0,108.83333333333333,0.0009399999999999409,0.0034199999999999786,3.6382978723406314,73.31999999999539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,0.7071067811865476,-0.7071067811865475,-0.587785252292473,-0.8090169943749475
8580616494,Germany 40,-102.24,0.775,0.775,0,0,7.55,62.780000000002474,382.6800000000003,6.095571838164785,878.9200000000346,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,False,False,True,True,False,False,0.49999999999999994,-0.8660254037844387,-0.587785252292473,-0.8090169943749475
8580518496,GBPJPY,27.51,0.7975000000000001,0.7975000000000001,1,1,77.81666666666666,0.12000000000000455,0.2230000000000132,1.858333333333373,93.60000000000355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,True,False,0.49999999999999994,-0.8660254037844387,-0.587785252292473,-0.8090169943749475
8581330590,BTCUSD,-58.3,0.92,0.92,0,0,1.15,112.9380000000092,367.0619999999908,3.250119534611565,56.4690000000046,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,False,True,False,0.0,1.0,-0.9510565162951536,0.30901699437494723
