ticket,symbol,profit,signal_conf,target_win,is_buy,hold_min,sl_distance,tp_distance,rr_ratio,dollar_risk,m1_scalp,m1_range_aligned,m1_has_pullback,h4_aligned,conqueror_bull,conqueror_bear,conqueror_bonus,channel_breakout,channel_bonus,ema50_bonus,model_m1_scalp,model_silver_ar,model_turtle_soup,model_fx_london,model_slingshot,model_ict,eu_london_breakout,eu_ny_reversion,eu_tight_range,eu_z_score,eu_asian_range_pips,kz_Asian,kz_London,kz_London_NY,kz_London_PM,kz_NY_Open,kz_NY_PM2,kz_Other,asset_Commodity,asset_Forex,asset_Index,regime_HIGH,regime_NORMAL,regime_UNKNOWN,hour_sin,hour_cos,dow_sin,dow_cos
8579191912,USDJPY,-62.58,0.914,0,0,32.75,0.19199999999997885,0.10099999999999909,0.5260416666667199,95.99999999998943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False,True,False,False,True,False,0.0,1.0,0.5877852522924732,-0.8090169943749473
8579191917,NZDUSD,26.0,0.99,1,1,145.4,0.0011900000000000244,0.0004899999999999904,0.4117647058823365,59.50000000000122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.0,1.0,0.5877852522924732,-0.8090169943749473
8579632491,USDCAD,-20.26,0.955,0,0,13.766666666666667,0.0005199999999998539,0.0017400000000000748,3.3461538461549303,25.999999999992696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False,True,False,False,True,False,1.2246467991473532e-16,-1.0,0.5877852522924732,-0.8090169943749473
8579818971,XAUUSD,46.2,0.99,1,1,2.25,3.8299999999999272,22.109999999999673,5.772845953002635,53.61999999999899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,-0.4999999999999997,-0.8660254037844388,0.5877852522924732,-0.8090169943749473
8580222335,XAUUSD,174.22,0.978,1,1,2.0166666666666666,1.7899999999999636,41.75,23.32402234636919,110.97999999999774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,True,False,False,-0.25881904510252157,0.9659258262890681,0.5877852522924732,-0.8090169943749473
8580285447,GBPUSD,-46.8,0.99,0,1,8.616666666666667,0.000600000000000156,0.00383,6.383333333331674,46.80000000001217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.49999999999999994,0.8660254037844387,-0.587785252292473,-0.8090169943749475
8580259030,AUDJPY,-60.83,0.99,0,1,123.15,0.11899999999999977,0.34900000000000375,2.9327731092437346,92.81999999999982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.7071067811865476,0.7071067811865476,-0.587785252292473,-0.8090169943749475
8580340453,NGAS,82.0,0.99,1,0,378.1166666666667,0.06000000000000005,0.08199999999999985,1.366666666666663,0.6000000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,0.8660254037844386,0.5000000000000001,-0.587785252292473,-0.8090169943749475
8580369549,NZDUSD,12.48,0.805,1,0,57.61666666666667,0.0005999999999999339,0.0013800000000000479,2.300000000000333,46.799999999994846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.9659258262890683,0.25881904510252074,-0.587785252292473,-0.8090169943749475
8580402028,GBPUSD,20.1,0.838,1,1,102.53333333333333,0.000600000000000156,0.0029799999999999827,4.966666666665347,18.00000000000468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.9659258262890683,0.25881904510252074,-0.587785252292473,-0.8090169943749475
